"Date","Price","Open","High","Low","Change %"
"Aug 04, 2021","133.940","133.940","133.940","133.940","0.25%"
"Aug 03, 2021","133.607","133.607","133.607","133.607","-0.78%"
"Aug 02, 2021","134.664","134.664","134.664","134.664","0.35%"
"Jul 30, 2021","134.198","134.198","134.198","134.198","-1.33%"
"Jul 29, 2021","136.002","136.002","136.002","136.002","-0.29%"
"Jul 28, 2021","136.391","136.391","136.391","136.391","0.83%"
"Jul 27, 2021","135.266","135.266","135.266","135.266","-0.80%"
"Jul 26, 2021","136.352","136.352","136.352","136.352","-0.71%"
"Jul 23, 2021","137.332","137.332","137.332","137.332","0.51%"
"Jul 22, 2021","136.631","136.631","136.631","136.631","0.29%"
"Jul 21, 2021","136.242","136.242","136.242","136.242","1.51%"
"Jul 20, 2021","134.220","134.220","134.220","134.220","1.24%"
"Jul 19, 2021","132.576","132.576","132.576","132.576","-2.15%"
"Jul 16, 2021","135.495","135.495","135.495","135.495","-0.61%"
"Jul 15, 2021","136.333","136.333","136.333","136.333","-0.63%"
"Jul 14, 2021","137.199","137.199","137.199","137.199","0.45%"
"Jul 13, 2021","136.584","136.584","136.584","136.584","0.02%"
"Jul 12, 2021","136.560","136.560","136.560","136.560","0.13%"
"Jul 09, 2021","136.386","136.386","136.386","136.386","1.31%"
"Jul 08, 2021","134.624","134.624","134.624","134.624","-1.16%"
"Jul 07, 2021","136.205","136.205","136.205","136.205","-0.13%"
"Jul 06, 2021","136.388","136.388","136.388","136.388","-0.44%"
"Jul 05, 2021","136.986","136.986","136.986","136.986","-0.13%"
"Jul 02, 2021","137.169","137.169","137.169","137.169","0.89%"
"Jul 01, 2021","135.963","135.963","135.963","135.963","0.44%"
"Jun 30, 2021","135.363","135.363","135.363","135.363","-0.32%"
"Jun 29, 2021","135.791","135.791","135.791","135.791","-0.05%"
"Jun 28, 2021","135.863","135.863","135.863","135.863","-0.56%"
"Jun 25, 2021","136.629","136.629","136.629","136.629","0.40%"
"Jun 24, 2021","136.081","136.081","136.081","136.081","0.79%"
"Jun 23, 2021","135.021","135.021","135.021","135.021","-0.53%"
"Jun 22, 2021","135.739","135.739","135.739","135.739","0.11%"
"Jun 21, 2021","135.594","135.594","135.594","135.594","0.53%"
"Jun 18, 2021","134.873","134.873","134.873","134.873","-0.83%"
"Jun 17, 2021","135.997","135.997","135.997","135.997","1.55%"
"Jun 16, 2021","133.915","133.915","133.915","133.915","-0.31%"
"Jun 15, 2021","134.330","134.330","134.330","134.330","-0.20%"
"Jun 14, 2021","134.596","134.596","134.596","134.596","0.27%"
"Jun 11, 2021","134.232","134.232","134.232","134.232","0.54%"
"Jun 10, 2021","133.511","133.511","133.511","133.511","0.41%"
"Jun 09, 2021","132.963","132.963","132.963","132.963","-0.14%"
"Jun 08, 2021","133.156","133.156","133.156","133.156","0.01%"
"Jun 07, 2021","133.149","133.149","133.149","133.149","-0.05%"
"Jun 04, 2021","133.209","133.209","133.209","133.209","1.27%"
"Jun 03, 2021","131.540","131.540","131.540","131.540","-0.87%"
"Jun 02, 2021","132.700","132.700","132.700","132.700","0.35%"
"Jun 01, 2021","132.231","132.231","132.231","132.231","0.48%"
"May 31, 2021","131.594","131.594","131.594","131.594","-0.48%"
"May 28, 2021","132.229","132.229","132.229","132.229","0.81%"
"May 27, 2021","131.169","131.169","131.169","131.169","0.29%"
"May 26, 2021","130.786","130.786","130.786","130.786","0.49%"
"May 25, 2021","130.147","130.147","130.147","130.147","-0.03%"
"May 24, 2021","130.180","130.180","130.180","130.180","0.71%"
"May 21, 2021","129.258","129.258","129.258","129.258","0.04%"
"May 20, 2021","129.212","129.212","129.212","129.212","0.94%"
"May 19, 2021","128.004","128.004","128.004","128.004","-0.27%"
"May 18, 2021","128.346","128.346","128.346","128.346","-0.66%"
"May 17, 2021","129.198","129.198","129.198","129.198","-0.30%"
"May 14, 2021","129.592","129.592","129.592","129.592","1.55%"
"May 13, 2021","127.609","127.609","127.609","127.609","0.27%"
"May 12, 2021","127.271","127.271","127.271","127.271","-0.95%"
"May 11, 2021","128.497","128.497","128.497","128.497","-0.84%"
"May 10, 2021","129.582","129.582","129.582","129.582","-1.87%"
"May 07, 2021","132.051","132.051","132.051","132.051","0.72%"
"May 06, 2021","131.105","131.105","131.105","131.105","0.28%"
"May 05, 2021","130.735","130.735","130.735","130.735","0.23%"
"May 04, 2021","130.441","130.441","130.441","130.441","-1.43%"
"May 03, 2021","132.328","132.328","132.328","132.328","0.09%"
"Apr 30, 2021","132.211","132.211","132.211","132.211","-0.52%"
"Apr 29, 2021","132.902","132.902","132.902","132.902","0.05%"
"Apr 28, 2021","132.833","132.833","132.833","132.833","0.66%"
"Apr 27, 2021","131.966","131.966","131.966","131.966","-0.08%"
"Apr 26, 2021","132.066","132.066","132.066","132.066","0.41%"
"Apr 23, 2021","131.525","131.525","131.525","131.525","0.60%"
"Apr 22, 2021","130.737","130.737","130.737","130.737","-0.38%"
"Apr 21, 2021","131.240","131.240","131.240","131.240","1.42%"
"Apr 20, 2021","129.399","129.399","129.399","129.399","-1.94%"
"Apr 19, 2021","131.956","131.956","131.956","131.956","-0.87%"
"Apr 16, 2021","133.108","133.108","133.108","133.108","0.40%"
"Apr 15, 2021","132.579","132.579","132.579","132.579","1.07%"
"Apr 14, 2021","131.171","131.171","131.171","131.171","-0.50%"
"Apr 13, 2021","131.828","131.828","131.828","131.828","0.03%"
"Apr 12, 2021","131.793","131.793","131.793","131.793","0.04%"
"Apr 09, 2021","131.741","131.741","131.741","131.741","0.25%"
"Apr 08, 2021","131.411","131.411","131.411","131.411","0.76%"
